Zeitstempel	Dateiname	Fehler	Meldung
2012-05-31 11:55:19.484 +0200	Vorstand Alt.fp7	0	Konvertierung begonnen.
2012-05-31 11:55:19.724 +0200	Vorstand Alt.fp7	0	Produktversion: 10.0, Dateiformat-Version: 7
2012-05-31 11:55:19.762 +0200	Vorstand.fmp12	0	Quelldatei wird zum Ziel kopiert
2012-05-31 11:55:20.416 +0200	Vorstand.fmp12	0	Header/Ersteller/Dateityp der alten Datei wird aktualisiert
2012-05-31 11:55:21.159 +0200	Vorstand.fmp12	0	Kataloge werden mit neuer Verschlüsselung aktualisiert
2012-05-31 11:55:21.496 +0200	Vorstand.fmp12	0	Wiederherstellung: Tabellenkatalog
2012-05-31 11:55:21.529 +0200	Vorstand.fmp12	0	Tabellenkatalog Reihenfolgeliste wird wieder aufgebaut: Name 
2012-05-31 11:55:21.530 +0200	Vorstand.fmp12	0	Wiederherstellung: Tabellenaliaskatalog
2012-05-31 11:55:21.530 +0200	Vorstand.fmp12	0	Tabellenaliaskatalog Reihenfolgeliste wird wieder aufgebaut: Name 
2012-05-31 11:55:21.531 +0200	Vorstand.fmp12	0	Wiederherstellung: Benutzerkontokatalog
2012-05-31 11:55:21.531 +0200	Vorstand.fmp12	0	Benutzerkontokatalog Reihenfolgeliste wird wieder aufgebaut: Name 
2012-05-31 11:55:21.532 +0200	Vorstand.fmp12	0	Wiederherstellung: Berechtigungenkatalog
2012-05-31 11:55:21.532 +0200	Vorstand.fmp12	0	Berechtigungenkatalog Reihenfolgeliste wird wieder aufgebaut: Name 
2012-05-31 11:55:21.532 +0200	Vorstand.fmp12	0	Wiederherstellung: Erweitertes-Zugriffsrecht-Katalog
2012-05-31 11:55:21.533 +0200	Vorstand.fmp12	0	Erweitertes-Zugriffsrecht-Katalog Reihenfolgeliste wird wieder aufgebaut: Name 
2012-05-31 11:55:21.533 +0200	Vorstand.fmp12	0	Wiederherstellung: Wertelistekatalog
2012-05-31 11:55:21.533 +0200	Vorstand.fmp12	0	Wertelistekatalog Reihenfolgeliste wird wieder aufgebaut: Name 
2012-05-31 11:55:21.577 +0200	Vorstand.fmp12	0	Wiederherstellung: Datenquellenkatalog
2012-05-31 11:55:21.577 +0200	Vorstand.fmp12	0	Datenquellenkatalog Reihenfolgeliste wird wieder aufgebaut: Name 
2012-05-31 11:55:21.578 +0200	Vorstand.fmp12	0	Wiederherstellung: Schriftkatalog
2012-05-31 11:55:21.578 +0200	Vorstand.fmp12	0	Schriftkatalog Reihenfolgeliste wird wieder aufgebaut: Name 
2012-05-31 11:55:21.616 +0200	Vorstand.fmp12	0	Wiederherstellung: Feldkatalog 'Vorstand'
2012-05-31 11:55:21.616 +0200	Vorstand.fmp12	0	Feldkatalog 'Vorstand' Reihenfolgeliste wird wieder aufgebaut: Name 
2012-05-31 11:55:21.712 +0200	Vorstand.fmp12	0	Werteindex für Feld 'traktandum' wieder aufgebaut; 20 Objekt(e) existieren jetzt, Unterschied zu altem Index ist 0
